Topology,Algorithm,Total Hopcount,Average Hopcount,Average Power Per Route,MCL,Total Power
dragonfly,minimal_or,252,2.33333,0.008509,0.145731,0.918056
dragonfly,valiant_xy,450,4.16667,0.0134645,0.128246,1.45266
