Topology,Algorithm,Total Hopcount,Average Hopcount,Average Power Per Route,MCL,Total Power
tree,destination_tag,58,2.07143,0.00780107,0.367265,0.21822
tree,valiant_xy,66,2.35714,0.00857336,0.11657,0.23982
